Code,Name,Cur,Price,+/-,%+/-,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Symbol
NSCI,NETSCIENTIFIC,GBX,2.0,0.0,0.0,,,,,NSCI
NETW,NETWORK INTL,GBX,421.0,-59.0,-12.29,,,,,NETW
NCA,NEW CENT,GBX,65.0,0.0,0.0,,,,,NCA
NCA2,NEW CENT.2,GBX,43.0,0.0,0.0,,,,,NCA2
NSI,NEW STAR INV,GBX,99.0,-8.5,-7.91,,,,,NSI
NTLG,NEW TREND LIFE.,GBX,0.45,0.0,0.0,,,,,NTLG
NWT,NEWMARK SEC,GBX,1.38,0.0,0.0,,,,,NWT
NRR,NEWRIVER REIT,GBX,123.4,-25.8,-17.29,,,,,NRR
NXT,NEXT,GBX,4387.0,-671.0,-13.27,,,,,NXT
NFC,NEXT FIFTEEN,GBX,423.0,0.0,0.0,,,,,NFC
NEXS,NEXUS INFRASTR.,GBX,195.0,-12.0,-5.8,,,,,NEXS
NICL,NICHOLS,GBX,1350.0,-20.0,-1.46,,,,,NICL
NAVF,NIPPON ACTIVE .,GBX,99.0,-1.0,-1.0,,,,,NAVF
NMC,NMC HEALTH,GBX,938.4,0.0,0.0,,,,,NMC
NMCN,NMCN,GBX,435.0,-15.0,-3.33,,,,,NMCN
NSF,NON-STANDARD,GBX,17.5,-2.38,-11.95,,,,,NSF
NXR,NORCROS,GBX,179.5,-20.5,-10.25,,,,,NXR
NBB,NORMAN BROADB,GBX,7.25,0.0,0.0,,,,,NBB
NAIT,NORTH AMERICAN,GBX,220.5,0.0,0.0,,,,,NAIT
NAS,NORTH ATL.SMLR,GBX,2850.0,-115.0,-3.88,,,,,NAS
NAR,NORTHAMBER,GBX,64.0,-2.0,-3.03,,,,,NAR
NBI,NORTHBRIDGE IND,GBX,97.5,-6.5,-6.25,,,,,NBI
NTV,NORTHERN 2 VCT,GBX,59.0,-1.0,-1.67,,,,,NTV
NTN,NORTHERN 3 VCT,GBX,89.0,-0.5,-0.56,,,,,NTN
NTBR,NORTHERN BEAR,GBX,58.0,-5.0,-7.94,,,,,NTBR
NTOG,NOSTRA TERRA,GBX,0.45,0.0,0.0,,,,,NTOG
NOG,NOSTRUM OIL&GAS,GBX,6.23,-1.3,-17.26,,,,,NOG
NCYT,NOVACYT,GBX,114.5,7.0,6.51,,,,,NCYT
NVT,NTHN.VENTURE,GBX,64.5,0.0,0.0,,,,,NVT
NUOG,NU-OIL & GAS,GBX,0.03,-0.0,-8.33,,,,,NUOG
NUC,NUCLEUS FINANC.,GBX,145.5,2.0,1.39,,,,,NUC
NFX,NUFORMIX,GBX,5.1,-0.4,-7.27,,,,,NFX
NUM,NUMIS CORP,GBX,215.0,-6.0,-2.71,,,,,NUM
NWF,NWF GRP.,GBX,147.5,-7.5,-4.84,,,,,NWF
OCDO,OCADO,GBX,1077.0,-7.5,-0.69,,,,,OCDO
OOUT,OCEAN OUT,USD,6.92,0.0,0.0,,,,,OOUT
OCN,OCEAN WILSONS,GBX,750.0,-55.0,-6.83,,,,,OCN
OCT,OCTAGONAL,GBX,1.3,0.0,0.0,,,,,OCT
OOA,OCTOPUS AIM,GBX,82.0,-2.5,-2.96,,,,,OOA
OSEC,OCTOPUS AIM 2,GBX,62.0,-2.0,-3.12,,,,,OSEC
OAP3,OCTOPUS AP,GBX,42.5,0.0,0.0,,,,,OAP3
ORIT,OCTOPUS RENEW.,GBX,101.2,-2.0,-1.94,,,,,ORIT
OTV2,OCTOPUS T.VCT,GBX,89.5,0.0,0.0,,,,,OTV2
OIT,ODYSSEAN INVES.,GBX,92.0,0.0,0.0,,,,,OIT
OEX,OILEX,GBX,0.11,-0.01,-12.0,,,,,OEX
OMU,OLD MUTUAL LIM.,GBX,67.26,-6.54,-8.86,,,,,OMU
ODX,OMEGA DIA,GBX,11.25,0.0,0.0,,,,,ODX
OTB,ON THE BEACH,GBX,235.0,-28.0,-10.65,,,,,OTB
OBC,ON-LINE BLOCK,GBX,9.5,-1.0,-9.52,,,,,OBC
ONC,ONCIMMUNE,GBX,66.5,-4.0,-5.67,,,,,ONC
OMIP,ONE MEDIA,GBX,5.5,0.0,0.0,,,,,OMIP
OSB,ONESAVINGS,GBX,277.0,-59.2,-17.61,,,,,OSB
OTMP,ONTHEMARKET,GBX,65.0,-3.5,-5.11,,,,,OTMP
ORPH,OPEN ORPHAN,GBX,5.78,-0.2,-3.35,,,,,ORPH
OPTI,OPTIBIOTIX H.,GBX,36.0,-6.0,-14.29,,,,,OPTI
ORCP,ORACLE POWER,GBX,0.62,-0.1,-13.79,,,,,ORCP
ORCH,ORCHARD FUNDING,GBX,80.0,0.0,0.0,,,,,ORCH
ORNT,ORIENT TELECOM.,GBX,10.25,0.0,0.0,,,,,ORNT
ORR,ORIOLE,GBX,0.27,-0.01,-5.36,,,,,ORR
OMI,OROSUR MINING,GBX,1.95,-0.5,-20.41,,,,,OMI
OIG,ORYX INTL.GWTH.,GBX,715.0,-80.0,-10.06,,,,,OIG
OSI,OSIRIUM TECH,GBX,31.0,0.5,1.64,,,,,OSI
OTT,OXF.TECH 3 VCT,GBX,55.0,0.0,0.0,,,,,OTT
OXH,OXF.TECH.2 VCT,GBX,22.5,0.0,0.0,,,,,OXH
OXF,OXF.TECH.4 VCT,GBX,26.5,0.0,0.0,,,,,OXF
OBD,OXFORD BIODYN,GBX,69.5,0.0,0.0,,,,,OBD
OXB,OXFORD BIOMED.,GBX,520.0,-5.0,-0.95,,,,,OXB
OXIG,OXFORD INSTRMNT,GBX,1072.0,-176.0,-14.1,,,,,OXIG
OMG,OXFORD METRICS,GBX,98.5,-10.5,-9.63,,,,,OMG
OXT,OXFORD TECH.VCT,GBX,33.0,0.0,0.0,,,,,OXT
PAC,PACIFIC ASSETS,GBX,229.0,-15.0,-6.15,,,,,PAC
PHI,PACIFIC HORIZON,GBX,280.0,-26.0,-8.5,,,,,PHI
PAGE,PAGEGROUP,GBX,332.4,-27.0,-7.51,,,,,PAGE
PCA,PALACE CAPITAL,GBX,244.5,0.0,0.0,,,,,PCA
PAF,PAN AFRICAN,GBX,10.2,-2.14,-17.34,,,,,PAF
PIN,PANTHEON INT.,GBX,1930.0,-230.0,-10.65,,,,,PIN
PANR,PANTHEON RES,GBX,11.25,0.0,0.0,,,,,PANR
PNS,PANTHER SECS.,GBX,305.0,0.0,0.0,,,,,PNS
PAT,PANTHERA RES.,GBX,5.5,0.0,0.0,,,,,PAT
PPHP,PAPILLON HLDGS,GBX,1.32,0.0,0.0,,,,,PPHP
PAG,PARAGON GRP.,GBX,361.8,-45.2,-11.11,,,,,PAG
PTY,PARITY,GBX,6.88,0.0,0.0,,,,,PTY
PMG,PARKMEAD,GBX,28.75,0.0,0.0,,,,,PMG
PATH,PATH INVESTMEN.,GBX,0.75,0.0,0.0,,,,,PATH
PFP,PATHFINDER MIN,GBX,0.47,0.0,0.0,,,,,PFP
PAY,PAYPOINT,GBX,683.0,-74.0,-9.78,,,,,PAY
PCF,PCF GRP,GBX,24.5,-3.75,-13.27,,,,,PCF
PCIP,PCI-PAL,GBX,30.0,-2.0,-6.25,,,,,PCIP
PSON,PEARSON,GBX,511.2,-28.0,-5.19,,,,,PSON
PEB,PEBBLE BEACH,GBX,8.75,0.0,0.0,,,,,PEB
PTRO,PELATRO PLC,GBX,37.5,-2.0,-5.06,,,,,PTRO
PERE,PEMBRIDGE RES,GBX,7.75,-1.5,-16.22,,,,,PERE
PEMB,PEMBROKE VCT,GBX,106.5,0.0,0.0,,,,,PEMB
PEMV,PEMBROKE VCT,GBX,95.0,0.0,0.0,,,,,PEMV
PDG,PENDRAGON,GBX,8.0,-1.46,-15.43,,,,,PDG
PEN,PENNANT INT.,GBX,61.0,-7.0,-10.29,,,,,PEN
PNN,PENNON GROUP,GBX,967.2,-52.8,-5.18,,,,,PNN
PPP,PENNPETRO ENGY,GBX,41.5,0.0,0.0,,,,,PPP
PLI,PERPTL.I&G.INV.,GBX,222.5,-26.5,-10.64,,,,,PLI
PSN,PERSIMMON,GBX,2143.0,-292.0,-11.99,,,,,PSN
PNL,PERSONAL ASSETS,GBX,40100.0,-1300.0,-3.14,,,,,PNL
PGH,PERSONAL GRP.HD,GBX,354.0,-7.0,-1.94,,,,,PGH
PEG,PETARDS,GBX,7.88,0.0,0.0,,,,,PEG
POG,PETROPAVLOVSK,GBX,15.78,-3.58,-18.49,,,,,POG
